Variables,R-squared,Adj. R-squared,P-value,AIC,BIC,Coefficients
"CPIAUCSL, NASDAQCOM, DJIA",0.7178809916429874,0.7159574529496441,1.7698404122355604e-120,4482.6085638098375,4498.991862059566,"const: -21.6202, CPIAUCSL: 0.6698, NASDAQCOM: 0.0054, DJIA: 0.0009"
"CPIAUCSL, REVOLSL, SP500",0.7446561938919956,0.7429152133958046,5.349239777242311e-130,4438.333726945901,4454.7170251956295,"const: 33.1218, CPIAUCSL: -0.0107, REVOLSL: 0.1200, SP500: 0.0227"
"CPIAUCSL, REVOLSL, DJIA",0.7392412918957035,0.7374633916131743,5.391199427965294e-128,4447.650886404952,4464.034184654681,"const: 28.4538, CPIAUCSL: 0.0359, REVOLSL: 0.1143, DJIA: 0.0026"
"CPIAUCSL, SP500, DJIA",0.7119402269446153,0.7099761830374196,1.726630708048893e-118,4491.861082725832,4508.2443809755605,"const: -34.1604, CPIAUCSL: 0.7939, SP500: 0.0541, DJIA: -0.0045"
"PCESV, RSAFS, PPIACO",0.6851469188826658,0.683000193329593,5.327171942590065e-110,4531.349606646811,4547.732904896539,"const: -13.0882, PCESV: 0.0082, RSAFS: 0.0001, PPIACO: 0.4167"
"PCESV, RSAFS, NASDAQCOM",0.7090154350600375,0.7070314493899923,1.590470806827414e-117,4496.346468578426,4512.729766828154,"const: 38.5043, PCESV: 0.0060, RSAFS: 0.0001, NASDAQCOM: 0.0068"
"PCESV, RSAFS, REVOLSL",0.6780285466756264,0.6758332867665966,7.249638091367962e-108,4541.276010959722,4557.659309209451,"const: 17.6221, PCESV: 0.0096, RSAFS: 0.0001, REVOLSL: 0.0251"
"PCESV, RSAFS, SP500",0.7138201364248598,0.7118689100823019,4.0943904104751755e-119,4488.9539939849765,4505.337292234705,"const: 39.9300, PCESV: 0.0081, RSAFS: 0.0001, SP500: 0.0149"
"PCESV, RSAFS, DJIA",0.7107103637832097,0.7087379344453679,4.404370592822834e-118,4493.752693112361,4510.13599136209,"const: 39.5998, PCESV: 0.0078, RSAFS: 0.0001, DJIA: 0.0017"
"PCESV, PPIACO, NASDAQCOM",0.7170878129575422,0.7151588662277073,3.280523734750865e-120,4483.855120001901,4500.23841825163,"const: -7.2795, PCESV: 0.0043, PPIACO: 0.5656, NASDAQCOM: 0.0074"
"PCESV, PPIACO, REVOLSL",0.683871492077444,0.6817160704325175,1.2952447410158972e-109,4533.144556872321,4549.52785512205,"const: -31.8026, PCESV: 0.0076, PPIACO: 0.5527, REVOLSL: 0.0462"
"PCESV, PPIACO, SP500",0.7198492026457198,0.7179390835728497,3.798551724894138e-121,4479.500129938068,4495.883428187797,"const: -2.5575, PCESV: 0.0070, PPIACO: 0.5193, SP500: 0.0156"
"PCESV, PPIACO, DJIA",0.7172147224652523,0.7152866410275154,2.972432609912905e-120,4483.655904605344,4500.039202855073,"const: -5.1361, PCESV: 0.0066, PPIACO: 0.5493, DJIA: 0.0018"
"PCESV, NASDAQCOM, REVOLSL",0.7296448360643779,0.7278015054011805,1.5203800536441672e-124,4463.6975023380055,4480.080800587734,"const: 30.1182, PCESV: 0.0001, NASDAQCOM: 0.0096, REVOLSL: 0.1000"
"PCESV, NASDAQCOM, SP500",0.703853098907459,0.7018339154909189,7.588252056105498e-116,4504.154383677661,4520.53768192739,"const: 44.0218, PCESV: 0.0119, NASDAQCOM: 0.0034, SP500: 0.0120"
"PCESV, NASDAQCOM, DJIA",0.701457218385912,0.6994216994203615,4.459336266882317e-115,4507.731969561421,4524.115267811149,"const: 44.1870, PCESV: 0.0115, NASDAQCOM: 0.0043, DJIA: 0.0012"
"PCESV, REVOLSL, SP500",0.744803045881748,0.7430630666491236,4.713783172309295e-130,4438.07830253975,4454.461600789479,"const: 31.5339, PCESV: 0.0009, REVOLSL: 0.1130, SP500: 0.0220"
"PCESV, REVOLSL, DJIA",0.7393373970176094,0.7375601519972749,4.971563782911879e-128,4447.487215785044,4463.870514034773,"const: 31.5000, PCESV: 0.0009, REVOLSL: 0.1129, DJIA: 0.0026"
"PCESV, SP500, DJIA",0.7119686845264294,0.7100048346482004,1.6895408529745165e-118,4491.817217557329,4508.200515807058,"const: 38.4966, PCESV: 0.0145, SP500: 0.1001, DJIA: -0.0101"
"RSAFS, PPIACO, NASDAQCOM",0.716734104820588,0.7148027464443647,4.3173377649017304e-120,4484.4098798492705,4500.793178098999,"const: -1.1684, RSAFS: 0.0001, PPIACO: 0.5382, NASDAQCOM: 0.0077"
"RSAFS, PPIACO, REVOLSL",0.6761665955565974,0.6739586405263015,2.5743302184965312e-107,4543.836253663363,4560.219551913092,"const: -31.2723, RSAFS: 0.0001, PPIACO: 0.6093, REVOLSL: 0.0526"
"RSAFS, PPIACO, SP500",0.7136351109212546,0.7116826230411724,4.719396548772661e-119,4489.240963085924,4505.624261335653,"const: -0.1824, RSAFS: 0.0001, PPIACO: 0.5684, SP500: 0.0161"
"RSAFS, PPIACO, DJIA",0.7126988281139959,0.7107399564875003,9.671226817171165e-119,4490.690272932987,4507.073571182716,"const: -1.1124, RSAFS: 0.0001, PPIACO: 0.5749, DJIA: 0.0019"
"RSAFS, NASDAQCOM, REVOLSL",0.7296897031568605,0.7278466784056573,1.4659119182038426e-124,4463.62381170839,4480.007109958119,"const: 29.9854, RSAFS: -0.0000, NASDAQCOM: 0.0098, REVOLSL: 0.1038"
"RSAFS, NASDAQCOM, SP500",0.7042159449784084,0.7021992355123521,5.795854540657339e-116,4503.610051018536,4519.993349268265,"const: 51.6952, RSAFS: 0.0002, NASDAQCOM: 0.0054, SP500: 0.0081"
"RSAFS, NASDAQCOM, DJIA",0.704172756065841,0.7021557521299262,5.984862809993339e-116,4503.674876951536,4520.058175201265,"const: 51.5936, RSAFS: 0.0002, NASDAQCOM: 0.0056, DJIA: 0.0009"
"RSAFS, REVOLSL, SP500",0.7471149400648718,0.7453907237471322,6.375723115156618e-131,4434.037663141706,4450.4209613914345,"const: 31.0085, RSAFS: -0.0001, REVOLSL: 0.1474, SP500: 0.0253"
"RSAFS, REVOLSL, DJIA",0.7402915548351457,0.7385208154362944,2.2201745952446387e-128,4445.858967836664,4462.242266086393,"const: 31.3581, RSAFS: -0.0000, REVOLSL: 0.1376, DJIA: 0.0029"
"RSAFS, SP500, DJIA",0.6947665002198691,0.6926853627213682,5.818877406749814e-113,4517.5727021791845,4533.956000428913,"const: 52.0280, RSAFS: 0.0002, SP500: 0.0323, DJIA: -0.0018"
"PPIACO, NASDAQCOM, REVOLSL",0.7375361778560497,0.7357466517959774,2.25904683722062e-127,4450.544772925293,4466.928071175022,"const: 2.5313, PPIACO: 0.3276, NASDAQCOM: 0.0082, REVOLSL: 0.0716"
"PPIACO, NASDAQCOM, SP500",0.717337813004758,0.7154105708206995,2.701166396916611e-120,4483.4625985819475,4499.845896831676,"const: -11.4560, PPIACO: 0.7416, NASDAQCOM: 0.0057, SP500: 0.0082"
"PPIACO, NASDAQCOM, DJIA",0.7175721052156643,0.7156464604784983,2.2510963315606364e-120,4483.094424547551,4499.47772279728,"const: -11.3271, PPIACO: 0.7391, NASDAQCOM: 0.0058, DJIA: 0.0010"
"PPIACO, REVOLSL, SP500",0.7490498873078855,0.7473388638122573,1.1781935675753777e-131,4430.627338312073,4447.010636561802,"const: 10.8244, PPIACO: 0.2493, REVOLSL: 0.0947, SP500: 0.0201"
"PPIACO, REVOLSL, DJIA",0.7451365836476196,0.7433988785361261,3.535975640080139e-130,4437.4976230840275,4453.880921333756,"const: 7.6847, PPIACO: 0.2867, REVOLSL: 0.0910, DJIA: 0.0023"
"PPIACO, SP500, DJIA",0.7057950448661285,0.7037891019902158,1.7871052249885896e-116,4501.233321919286,4517.616620169015,"const: -20.7071, PPIACO: 0.8695, SP500: 0.0224, DJIA: -0.0005"
"NASDAQCOM, REVOLSL, SP500",0.7481176170889732,0.7464002372054889,2.662167971255496e-131,4432.273725349918,4448.657023599647,"const: 32.8599, NASDAQCOM: 0.0032, REVOLSL: 0.1089, SP500: 0.0164"
"NASDAQCOM, REVOLSL, DJIA",0.7453709621629367,0.743634855086775,2.8884937854764603e-130,4437.089122164001,4453.47242041373,"const: 33.0636, NASDAQCOM: 0.0041, REVOLSL: 0.1063, DJIA: 0.0017"
"NASDAQCOM, SP500, DJIA",0.6366370603808051,0.6341595857924924,2.522608844093329e-96,4594.973051760811,4611.35635001054,"const: 82.5394, NASDAQCOM: 0.0130, SP500: -0.0258, DJIA: 0.0040"
"REVOLSL, SP500, DJIA",0.750944791889339,0.7492466881976754,2.226246278564701e-132,4427.262007476351,4443.64530572608,"const: 30.5396, REVOLSL: 0.1225, SP500: 0.0832, DJIA: -0.0074"
"PI, TTLCONS, CPIAUCSL, PCESV",0.7298921548623546,0.7274310355444717,2.690361039313134e-123,4465.291148703722,4485.770271515883,"const: 82.2379, PI: 0.0108, TTLCONS: 0.0001, CPIAUCSL: -0.7408, PCESV: 0.0055"
"PI, TTLCONS, CPIAUCSL, RSAFS",0.7384155789987694,0.736032121859806,2.388984189073479e-126,4451.054625867342,4471.533748679503,"const: 29.3234, PI: 0.0135, TTLCONS: 0.0001, CPIAUCSL: -0.2168, RSAFS: -0.0003"
"PI, TTLCONS, CPIAUCSL, PPIACO",0.7423212032275672,0.7399733326419414,8.840050168183791e-128,4444.375431962948,4464.854554775109,"const: 95.0769, PI: 0.0121, TTLCONS: 0.0001, CPIAUCSL: -1.7029, PPIACO: 1.0637"
"PI, TTLCONS, CPIAUCSL, NASDAQCOM",0.732435599281324,0.7299976548556413,3.383883906757286e-124,4461.090456723239,4481.5695795354,"const: 42.7571, PI: 0.0056, TTLCONS: 0.0000, CPIAUCSL: -0.1383, NASDAQCOM: 0.0048"
"PI, TTLCONS, CPIAUCSL, REVOLSL",0.7277502849413735,0.7252696497244384,1.5187241918441105e-122,4468.798042526744,4489.277165338905,"const: 90.6972, PI: 0.0143, TTLCONS: 0.0000, CPIAUCSL: -0.9119, REVOLSL: 0.0449"
"PI, TTLCONS, CPIAUCSL, SP500",0.7306562221412229,0.7282020647119858,1.4461790457955637e-123,4464.033404415957,4484.512527228118,"const: 33.3556, PI: 0.0041, TTLCONS: 0.0001, CPIAUCSL: 0.0119, SP500: 0.0111"
"PI, TTLCONS, CPIAUCSL, DJIA",0.7297445652072299,0.7272821011088902,3.032473698041173e-123,4465.533688531792,4486.012811343953,"const: 37.5030, PI: 0.0048, TTLCONS: 0.0001, CPIAUCSL: -0.0481, DJIA: 0.0012"
"PI, TTLCONS, PCESV, RSAFS",0.7448910122661346,0.7425665567970334,9.828326020929896e-129,4439.925229365988,4460.40435217815,"const: 7.7191, PI: 0.0096, TTLCONS: 0.0001, PCESV: 0.0058, RSAFS: -0.0003"
"PI, TTLCONS, PCESV, PPIACO",0.720596650770567,0.7180508343766769,4.463769349022573e-120,4480.313945663154,4500.7930684753155,"const: 5.3723, PI: 0.0042, TTLCONS: 0.0000, PCESV: 0.0040, PPIACO: 0.1272"
"PI, TTLCONS, PCESV, NASDAQCOM",0.7344089305617291,0.7319889663755034,6.68212196051816e-125,4457.803749042493,4478.282871854654,"const: 30.3762, PI: 0.0027, TTLCONS: 0.0000, PCESV: 0.0032, NASDAQCOM: 0.0050"
"PI, TTLCONS, PCESV, REVOLSL",0.7205314774284208,0.7179850671999781,4.697817561574969e-120,4480.417500576201,4500.896623388362,"const: 17.0590, PI: 0.0051, TTLCONS: 0.0000, PCESV: 0.0051, REVOLSL: -0.0155"
"PI, TTLCONS, PCESV, SP500",0.738425657449427,0.7360422921414491,2.368897484146802e-126,4451.037518891777,4471.516641703938,"const: 36.4538, PI: 0.0007, TTLCONS: 0.0001, PCESV: 0.0061, SP500: 0.0127"
"PI, TTLCONS, PCESV, DJIA",0.73646466515356,0.7340634320342303,1.2172873812043017e-125,4454.353719923294,4474.832842735455,"const: 35.3903, PI: 0.0010, TTLCONS: 0.0001, PCESV: 0.0056, DJIA: 0.0014"
"PI, TTLCONS, RSAFS, PPIACO",0.7447138780699354,0.7423878086218254,1.1443118614890888e-128,4440.233412515791,4460.7125353279525,"const: -25.9850, PI: 0.0088, TTLCONS: 0.0001, RSAFS: -0.0004, PPIACO: 0.4716"
"PI, TTLCONS, RSAFS, NASDAQCOM",0.7473675742279609,0.7450656842437053,1.1586809024714617e-129,4435.593881943542,4456.073004755704,"const: 22.9407, PI: 0.0089, TTLCONS: 0.0001, RSAFS: -0.0003, NASDAQCOM: 0.0041"
"PI, TTLCONS, RSAFS, REVOLSL",0.7390884490246781,0.7367111228198915,1.3585652993705394e-126,4449.9110593226,4470.390182134761,"const: 4.6794, PI: 0.0119, TTLCONS: 0.0001, RSAFS: -0.0003, REVOLSL: 0.0227"
"PI, TTLCONS, RSAFS, SP500",0.7444655762326442,0.742137244353215,1.416038283261075e-128,4440.6650553906475,4461.144178202809,"const: 23.6901, PI: 0.0091, TTLCONS: 0.0001, RSAFS: -0.0003, SP500: 0.0079"
"PI, TTLCONS, RSAFS, DJIA",0.743747964674582,0.7414130941932571,2.618122576866737e-128,4441.910183060321,4462.3893058724825,"const: 23.0673, PI: 0.0092, TTLCONS: 0.0001, RSAFS: -0.0003, DJIA: 0.0009"
"PI, TTLCONS, PPIACO, NASDAQCOM",0.7390533660499004,0.7366757201824734,1.3991916864930867e-126,4449.970756923498,4470.449879735659,"const: 1.9757, PI: -0.0009, TTLCONS: 0.0001, PPIACO: 0.4728, NASDAQCOM: 0.0066"
"PI, TTLCONS, PPIACO, REVOLSL",0.7171312281104101,0.7145538361114161,6.648015268307077e-119,4485.786979398697,4506.266102210859,"const: 3.3241, PI: 0.0060, TTLCONS: 0.0000, PPIACO: 0.1581, REVOLSL: 0.0018"
"PI, TTLCONS, PPIACO, SP500",0.7422248394390452,0.7398760908234556,9.594924800529283e-128,4444.5414429984385,4465.0205658106,"const: -3.0296, PI: -0.0034, TTLCONS: 0.0001, PPIACO: 0.6659, SP500: 0.0169"
"PI, TTLCONS, PPIACO, DJIA",0.7422302188142588,0.7398815192134776,9.551142843335643e-128,4444.532177297617,4465.011300109778,"const: -4.9974, PI: -0.0041, TTLCONS: 0.0001, PPIACO: 0.7080, DJIA: 0.0021"
"PI, TTLCONS, NASDAQCOM, REVOLSL",0.7375267180670528,0.735135161967436,5.024195636839087e-126,4452.560775399808,4473.03989821197,"const: 27.5585, PI: 0.0025, TTLCONS: 0.0000, NASDAQCOM: 0.0066, REVOLSL: 0.0485"
"PI, TTLCONS, NASDAQCOM, SP500",0.7344776419140611,0.7320583037993829,6.31377747132175e-125,4457.688866461769,4478.16798927393,"const: 36.1888, PI: 0.0036, TTLCONS: 0.0000, NASDAQCOM: 0.0034, SP500: 0.0059"
"PI, TTLCONS, NASDAQCOM, DJIA",0.7342877629766295,0.7318666947577377,7.384540986378395e-125,4458.00626390759,4478.485386719752,"const: 36.1821, PI: 0.0036, TTLCONS: 0.0000, NASDAQCOM: 0.0036, DJIA: 0.0007"
"PI, TTLCONS, REVOLSL, SP500",0.7462380689599146,0.7439258873559047,3.080104969596803e-129,4437.574556348517,4458.053679160678,"const: 34.7326, PI: -0.0004, TTLCONS: 0.0000, REVOLSL: 0.1013, SP500: 0.0214"
"PI, TTLCONS, REVOLSL, DJIA",0.7421586520370013,0.7398093003471333,1.0150248004528575e-127,4444.655431616658,4465.134554428819,"const: 33.6572, PI: 0.0003, TTLCONS: 0.0000, REVOLSL: 0.0870, DJIA: 0.0023"
"PI, TTLCONS, SP500, DJIA",0.7313257295498312,0.728877672415889,8.382365906281388e-124,4462.92838036037,4483.4075031725315,"const: 33.5816, PI: 0.0045, TTLCONS: 0.0000, SP500: 0.0308, DJIA: -0.0024"
"PI, CPIAUCSL, PCESV, RSAFS",0.7113119957332728,0.7086815811158083,5.75937543268402e-117,4494.828350495634,4515.307473307796,"const: 59.3028, PI: 0.0130, CPIAUCSL: -0.5476, PCESV: 0.0049, RSAFS: 0.0000"
"PI, CPIAUCSL, PCESV, PPIACO",0.7144559426702086,0.711854174494083,5.229036905814436e-118,4489.966461090204,4510.445583902365,"const: 55.7622, PI: 0.0135, CPIAUCSL: -0.8457, PCESV: 0.0049, PPIACO: 0.3998"
"PI, CPIAUCSL, PCESV, NASDAQCOM",0.7198067612257896,0.7172537476606486,8.286001074667724e-120,4481.567388583722,4502.0465113958835,"const: 21.7306, PI: 0.0064, CPIAUCSL: 0.0296, PCESV: 0.0030, NASDAQCOM: 0.0049"
"PI, CPIAUCSL, PCESV, REVOLSL",0.7220294456031418,0.7194966842874528,1.4469589948967366e-120,4478.031232738149,4498.51035555031,"const: 87.4056, PI: 0.0156, CPIAUCSL: -0.9598, PCESV: 0.0020, REVOLSL: 0.0675"
"PI, CPIAUCSL, PCESV, SP500",0.7188253453807343,0.7162633895299892,1.7826706162763718e-119,4483.119843165736,4503.598965977897,"const: 11.8699, PI: 0.0041, CPIAUCSL: 0.1804, PCESV: 0.0055, SP500: 0.0117"
"PI, CPIAUCSL, PCESV, DJIA",0.716553212064283,0.7139705534042765,1.0397728001296387e-118,4486.6933264313575,4507.172449243519,"const: 19.1248, PI: 0.0058, CPIAUCSL: 0.0639, PCESV: 0.0051, DJIA: 0.0012"
"PI, CPIAUCSL, RSAFS, PPIACO",0.710783758007676,0.7081485302902061,8.59656093379238e-117,4495.6400338047715,4516.119156616933,"const: 64.4964, PI: 0.0145, CPIAUCSL: -0.9766, RSAFS: 0.0001, PPIACO: 0.4886"
"PI, CPIAUCSL, RSAFS, NASDAQCOM",0.7179964744794007,0.7154269662742017,3.397620296572552e-119,4484.426779261254,4504.905902073415,"const: 14.6748, PI: 0.0065, CPIAUCSL: 0.1353, RSAFS: 0.0000, NASDAQCOM: 0.0055"
"PI, CPIAUCSL, RSAFS, REVOLSL",0.7221521147264179,0.7196204711248364,1.3135660679884618e-120,4477.835251145126,4498.314373957287,"const: 79.6815, PI: 0.0171, CPIAUCSL: -0.9130, RSAFS: -0.0000, REVOLSL: 0.0805"
"PI, CPIAUCSL, RSAFS, SP500",0.712736454066349,0.7101190185680926,1.9485168206058375e-117,4492.63212135371,4513.1112441658715,"const: 13.5793, PI: 0.0064, CPIAUCSL: 0.1623, RSAFS: 0.0000, SP500: 0.0107"
"PI, CPIAUCSL, RSAFS, DJIA",0.7113590080466634,0.7087290217874075,5.55749030480484e-117,4494.756040019881,4515.235162832042,"const: 19.7094, PI: 0.0074, CPIAUCSL: 0.0725, RSAFS: 0.0000, DJIA: 0.0011"
"PI, CPIAUCSL, PPIACO, NASDAQCOM",0.7209577118454176,0.7184151853018679,3.3624080075718744e-120,4479.739812287084,4500.218935099245,"const: 16.5048, PI: 0.0068, CPIAUCSL: -0.1938, PPIACO: 0.3740, NASDAQCOM: 0.0054"
"PI, CPIAUCSL, PPIACO, REVOLSL",0.73358750167639,0.7311600529445119,1.3146461180800023e-124,4459.174847798296,4479.653970610457,"const: 108.4361, PI: 0.0174, CPIAUCSL: -1.8973, PPIACO: 0.8157, REVOLSL: 0.0998"
"PI, CPIAUCSL, PPIACO, SP500",0.7155090345240017,0.7129168617178423,2.327219268996066e-118,4488.325953765874,4508.805076578035,"const: 10.7427, PI: 0.0071, CPIAUCSL: -0.1311, PPIACO: 0.3781, SP500: 0.0104"
"PI, CPIAUCSL, PPIACO, DJIA",0.7145532709311605,0.7119523895729023,4.85268762913462e-118,4489.815097007594,4510.294219819755,"const: 14.9732, PI: 0.0079, CPIAUCSL: -0.2190, PPIACO: 0.4076, DJIA: 0.0011"
"PI, CPIAUCSL, NASDAQCOM, REVOLSL",0.7362879467040014,0.7338851033937873,1.4099113599267783e-125,4454.651352481773,4475.130475293934,"const: 56.2552, PI: 0.0072, CPIAUCSL: -0.4152, NASDAQCOM: 0.0062, REVOLSL: 0.0812"
"PI, CPIAUCSL, NASDAQCOM, SP500",0.7192991697451832,0.7167415312007201,1.2319061498632263e-119,4482.371000856903,4502.8501236690645,"const: -0.5415, PI: 0.0037, CPIAUCSL: 0.3694, NASDAQCOM: 0.0046, SP500: 0.0053"
"PI, CPIAUCSL, NASDAQCOM, DJIA",0.7189356857795206,0.7163747353082635,1.635764985445503e-119,4482.9455715822805,4503.424694394442,"const: 1.8217, PI: 0.0041, CPIAUCSL: 0.3339, NASDAQCOM: 0.0049, DJIA: 0.0005"
"PI, CPIAUCSL, REVOLSL, SP500",0.7446562076832821,0.7423296127646788,1.2023849183922236e-128,4440.333702965169,4460.8128257773305,"const: 33.1989, PI: 0.0000, CPIAUCSL: -0.0119, REVOLSL: 0.1200, SP500: 0.0227"
"PI, CPIAUCSL, REVOLSL, DJIA",0.7395939703963954,0.7372212503088911,8.881723933624063e-127,4449.049965940154,4469.529088752315,"const: 40.7340, PI: 0.0024, CPIAUCSL: -0.1406, REVOLSL: 0.1111, DJIA: 0.0024"
"PI, CPIAUCSL, SP500, DJIA",0.7148572646295566,0.7122591531455433,3.8422906812107272e-118,4489.34199603651,4509.821118848671,"const: 5.2844, PI: 0.0066, CPIAUCSL: 0.2379, SP500: 0.0478, DJIA: -0.0045"
"PI, PCESV, RSAFS, PPIACO",0.7067064646576079,0.7040340862034631,1.8465495765830133e-115,4501.855715955633,4522.334838767794,"const: 7.2142, PI: 0.0096, PCESV: 0.0042, RSAFS: -0.0000, PPIACO: 0.0097"
"PI, PCESV, RSAFS, NASDAQCOM",0.7198209730830284,0.717268089010892,8.19441982320179e-120,4481.544867609714,4502.023990421875,"const: 24.5033, PI: 0.0065, PCESV: 0.0031, RSAFS: 0.0000, NASDAQCOM: 0.0048"
"PI, PCESV, RSAFS, REVOLSL",0.711892153009934,0.7092670245635553,3.706472442629493e-117,4493.935175147222,4514.4142979593835,"const: -0.2191, PI: 0.0104, PCESV: 0.0019, RSAFS: -0.0001, REVOLSL: 0.0462"
"PI, PCESV, RSAFS, SP500",0.7189350544853017,0.7163740982619331,1.6365702129477829e-119,4482.946568842708,4503.425691654869,"const: 27.7375, PI: 0.0050, PCESV: 0.0055, RSAFS: 0.0000, SP500: 0.0107"
"PI, PCESV, RSAFS, DJIA",0.7168659317411119,0.7142861224631266,8.163870659820429e-119,4486.203202033072,4506.682324845233,"const: 26.1761, PI: 0.0055, PCESV: 0.0051, RSAFS: 0.0000, DJIA: 0.0012"
"PI, PCESV, PPIACO, NASDAQCOM",0.7220157311111337,0.719482844834242,1.4626862500480421e-120,4478.053138239091,4498.532261051252,"const: 7.0796, PI: 0.0045, PCESV: 0.0026, PPIACO: 0.2662, NASDAQCOM: 0.0056"
"PI, PCESV, PPIACO, REVOLSL",0.7093154220163626,0.7066668153832543,2.60724286591684e-116,4497.888496131245,4518.367618943406,"const: 6.9159, PI: 0.0085, PCESV: 0.0025, PPIACO: -0.0190, REVOLSL: 0.0294"
"PI, PCESV, PPIACO, SP500",0.7216496773380532,0.7191134557192655,1.9515450534068557e-120,4478.6374193575775,4499.116542169739,"const: 5.6233, PI: 0.0030, PCESV: 0.0055, PPIACO: 0.3275, SP500: 0.0126"
"PI, PCESV, PPIACO, DJIA",0.7195167243998262,0.7169610681301207,1.039433370868463e-119,4482.026749227205,4502.505872039366,"const: 4.4834, PI: 0.0034, PCESV: 0.0050, PPIACO: 0.3261, DJIA: 0.0014"
"PI, PCESV, NASDAQCOM, REVOLSL",0.7348596083051588,0.7324437505220623,4.6055516467319625e-125,4457.049691742963,4477.528814555124,"const: 23.8600, PI: 0.0035, PCESV: -0.0016, NASDAQCOM: 0.0075, REVOLSL: 0.0763"
"PI, PCESV, NASDAQCOM, SP500",0.7213798287501181,0.7188411483742649,2.4131728189249573e-120,4479.067649625527,4499.546772437689,"const: 27.2713, PI: 0.0060, PCESV: 0.0042, NASDAQCOM: 0.0031, SP500: 0.0052"
"PI, PCESV, NASDAQCOM, DJIA",0.7207596589538163,0.7182153278281107,3.927964278817315e-120,4480.054833686499,4500.53395649866,"const: 26.6461, PI: 0.0062, PCESV: 0.0038, NASDAQCOM: 0.0036, DJIA: 0.0005"
"PI, PCESV, REVOLSL, SP500",0.7448472668836371,0.7425224128233514,1.0204678381593791e-128,4440.001358728952,4460.4804815411135,"const: 32.3485, PI: -0.0004, PCESV: 0.0010, REVOLSL: 0.1162, SP500: 0.0226"
"PI, PCESV, REVOLSL, DJIA",0.7394774219836588,0.7371036399516193,9.796815697170903e-127,4449.248639982476,4469.727762794637,"const: 30.0822, PI: 0.0007, PCESV: 0.0006, REVOLSL: 0.1075, DJIA: 0.0025"
"PI, PCESV, SP500, DJIA",0.7247164958207124,0.7222082178783042,1.7221679262206178e-121,4473.7183509470815,4494.197473759243,"const: 24.8683, PI: 0.0053, PCESV: 0.0074, SP500: 0.0735, DJIA: -0.0077"
"PI, RSAFS, PPIACO, NASDAQCOM",0.7207173433741414,0.7181726266850675,4.0605688291880234e-120,4480.1221115514745,4500.601234363636,"const: 6.5681, PI: 0.0049, RSAFS: 0.0000, PPIACO: 0.3008, NASDAQCOM: 0.0059"
"PI, RSAFS, PPIACO, REVOLSL",0.7112505932208559,0.7086196191271963,6.034088823826305e-117,4494.922777060641,4515.4018998728025,"const: -0.8005, PI: 0.0113, RSAFS: -0.0001, PPIACO: -0.0042, REVOLSL: 0.0531"
"PI, RSAFS, PPIACO, SP500",0.7161669873458297,0.7135808095539922,1.4012345891434535e-118,4487.297909218586,4507.777032030747,"const: 5.5831, PI: 0.0043, RSAFS: 0.0000, PPIACO: 0.3555, SP500: 0.0123"
"PI, RSAFS, PPIACO, DJIA",0.7150187749771142,0.71242213511358,3.3937277143150337e-118,4489.090434617536,4509.569557429697,"const: 4.5738, PI: 0.0042, RSAFS: 0.0000, PPIACO: 0.3644, DJIA: 0.0015"
